CustomerID,SeasonID,TotalRepaid,TotalCredit
1,110,7900,7900
2,110,6200,6200
3,110,7900,7900
4,110,6200,6200
5,110,4500,4500
7,110,6200,6200
8,110,6200,6200
9,110,6200,6200
10,110,6200,6200
11,110,6200,6200
12,110,6200,6200
1,120,6200,6200
2,120,4500,4500
3,120,7050,7050
4,120,7000,7050
5,120,4500,4500
7,120,5250,5250
8,120,6950,6950
9,120,6200,6200
10,120,4500,4500
11,120,5250,5250
12,120,5250,5250
1,130,6200,6200
2,130,6200,6200
3,130,0,0
4,130,4500,4500
5,130,4500,4500
7,130,6200,6200
8,130,4500,4500
9,130,4500,4500
10,130,6200,6200
11,130,6200,6200
12,130,6200,6200
1,140,4000,4500
2,140,6200,6200
3,140,6200,6200
4,140,7900,7900
5,140,4500,4500
7,140,4500,4500
8,140,7900,7900
9,140,7900,7900
10,140,6200,6200
11,140,6200,6200
12,140,4500,4500
1,150,6200,6200
2,150,4500,4500
3,150,6200,6200
4,150,6200,6200
5,150,6200,6200
7,150,4500,4500
8,150,4500,4500
9,150,4500,4500
10,150,4500,4500
11,150,6000,6200
12,150,4500,4500
1,160,6200,6200
2,160,6200,6200
3,160,4000,4500
4,160,6200,6200
5,160,4500,4500
7,160,6200,6200
8,160,6200,6200
9,160,7200,6200
10,160,6200,6200
11,160,4500,4500
12,160,6200,6200
1,170,6200,6200
2,170,6000,6200
3,170,6200,6200
4,170,6200,6200
5,170,6200,6200
7,170,6200,6200
8,170,4500,4500
9,170,4000,4500
10,170,4500,4500
11,170,6200,6200
12,170,6200,6200
1,180,600,6200
2,180,3000,6200
3,180,900,6200
4,180,4000,6200
5,180,400,6200
7,180,620,6200
8,180,6200,6200
9,180,500,4500
10,180,450,4500
11,180,5000,4500
12,180,450,4500
